,Entity's Name,LOC Count,Header Count,Inner Entities Lines,Total,Entity Type
,.\ProjetoGenerico\Classes\TratamentoDeExcecoes.cpp,2,2,17,21,FILE
,funcaoGlobal,5,0,0,5,FUNCTION
,metodoInterno,3,0,0,3,METHOD
,classeInterna,4,0,3,7,CLASS
,metodoDaClasseGlobal,5,0,7,12,METHOD
,classeGlobal,7,0,12,19,CLASS
,.\ProjetoGenerico\Classes\UsandoClassesEVariaveis.cpp,3,1,24,28,FILE
,estrutura1,6,0,0,6,STRUCT
,strNaClasse,3,0,0,3,STRUCT
,uniNaClasse,3,0,0,3,UNION
,enumNaClasse,3,0,0,3,ENUM
,classe,5,0,9,14,CLASS
,funcao_do_header,3,0,20,23,FUNCTION
,.\ProjetoGenerico\Header\Header.h,2,12,23,37,FILE
,e,1,0,0,1,ENUM
,func,5,0,0,5,FUNCTION
,main,1,0,0,1,FUNCTION
,.\ProjetoGenerico\Outros Arquivos\c11-align-1.cpp,16,1,7,24,FILE
,.\ProjetoGenerico\Outros Arquivos\limits-declparen.cpp,1,12,0,13,FILE
,.\ProjetoGenerico\Outros Arquivos\limits-exprparen.cpp,1,12,0,13,FILE
,foo,5,0,0,5,FUNCTION
,.\ProjetoGenerico\Outros Arquivos\limits-ifs.cpp,0,4,5,9,FILE
,s0,0,0,3,3,STRUCT
,s1,0,0,3,3,STRUCT
,s2,0,0,3,3,STRUCT
,s3,0,0,3,3,STRUCT
,s4,0,0,3,3,STRUCT
,s5,0,0,3,3,STRUCT
,s6,0,0,3,3,STRUCT
,s7,0,0,3,3,STRUCT
,s8,0,0,3,3,STRUCT
,s9,3,0,0,3,STRUCT
,dd,2,0,2,4,STRUCT
,d,1,0,0,1,STRUCT
,ff,1,0,0,1,ENUM
,main,5,0,0,5,FUNCTION
,.\ProjetoGenerico\Outros Arquivos\limits-structnest.cpp,6,12,12,30,FILE
Total,,820,87,899,907
